long,lat,PORT,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS,STPOSTAL,STFIPS
-83.50751,41.66294,L3204,"Toledo, OH",9638552,4456128,5182424,3637392,1545032,OH,39
-82.71227,41.47022,L3213,"Sandusky, OH",2951723,666646,2285077,29421,2255656,OH,39
-82.70906,41.52962,L3212,"Marblehead, OH",2391578,2374490,17088,17088,0,OH,39
-81.67191,41.47852,L3217,"Cleveland, OH",11313415,9924890,1388525,1371686,16839,OH,39
-81.29407,41.76666,L3218,"Fairport Harbor, OH",1533535,1241603,291932,281181,10751,OH,39
-80.79172,41.91873,L3219,"Ashtabula, OH",4539879,2527231,2012648,976489,1036159,OH,39
-80.5486,41.96671,L3220,"Conneaut, OH",3989891,3883942,105949,55759,50190,OH,39
-97.398138,25.952201,C2420,"Brownsville, TX",5600977,2562525,3038452,2839516,198936,TX,48
-97.39789,27.81277,C2423,"Corpus Christi, TX",69001357,23300339,45701018,30878967,14822051,TX,48
-97.058201,27.84459,C2413,"Aransas Pass, TX",781733,781733,0,0,0,TX,48
-96.97247,28.69131,C2411,"Victoria, TX",4517632,4517632,0,0,0,TX,48
-96.56412,28.5954,C2410,"Matagorda Port Lv Pt Com, TX",11589123,3436744,8152379,5800442,2351937,TX,48
-95.3707,28.96133,C2408,"Freeport, TX",22084551,5607875,16476676,14374246,2102430,TX,48
-94.8127,29.31049,C2417,"Galveston, TX",11618368,6851348,4767020,1872763,2894257,TX,48
-95.293679,29.747023,C2012,"Houston, TX",238185582,75742260,162443322,83816269,78627053,TX,48
-94.918091,29.363068,C2404,"Texas City, TX",56721627,20761770,35959857,27660191,8299666,TX,48
-93.96069,29.83142,C2416,"Port Arthur, TX",30618123,10745809,19872314,10694732,9177582,TX,48
-94.088112,30.087163,C2395,"Beaumont, TX",78515010,28830962,49684048,40615037,9069011,TX,48
-93.72356,30.09537,C2394,"Orange, TX",732450,732381,69,69,0,TX,48
-79.921595,32.788781,C0773,"Charleston, SC",19105017,2068285,17036732,10600174,6436558,SC,45
-95.74002,36.2182,I6109,"Tulsa, Port of Catoosa, OK",2657204,2657204,0,0,0,OK,40
-90.06198,35.18177,I2294,"Memphis, TN",13564063,13564063,0,0,0,TN,47
-89.415053,36.498428,I2298,"Elvis Stahr Harbor, KY",847315,847315,0,0,0,TN,47
-86.77467,36.16513,I2370,"Nashville, TN",2237583,2237583,0,0,0,TN,47
-85.32682,35.02448,I2372,"Chattanooga, TN",2569620,2569620,0,0,0,TN,47
-156.4728,20.89861,C4410,"Kahului, Maui, HI",4710764,4696109,14655,14655,0,HI,15
-155.8333,20.03778,C4405,"Kawaihae Harbor, HI",1837107,1825751,11356,0,11356,HI,15
-159.3531,21.96111,C4430,"Nawiliwili, Kauai, HI",1947292,1937546,9746,9746,0,HI,15
-158.1089,21.29723,C4458,"Barbers Point, Oahu, HI",10046234,2139210,7907024,7662370,244654,HI,15
